Sentence,Action,Room,Object
report what's there chips around the pantry,describe,kitchen,chips
explain everything you see tomato,describe,unknown,tomato
answer you tell object inside the kitchen,question,kitchen,unknown
could you tell vegetables by the bathroom,question,bathroom,vegetables
throw out a chips around the canteen,place,kitchen,chips
put back the water near the my room,place,bedroom,water
tidy the item near the sitting room,place,living room,unknown
fetch me the water,get,unknown,water
find the beverage by the sitting room,get,living room,beverage
answer you do orange in the bath,question,bathroom,orange
get me a cookies around the canteen,get,kitchen,cookies
how you do cookies in the my room,question,bedroom,cookies
what are are the apple around the bedroom,question,bedroom,apple
clear away a crackers inside the living room,place,living room,crackers
where is the chips close to the my room,question,bedroom,chips
express everything you see beverage inside the living room,describe,living room,beverage
could are the soda,question,unknown,soda
grab a cookies inside the bathroom,get,bathroom,cookies
identify some cookies inside the living room,get,living room,cookies
drive by the crackers around the my room,go,bedroom,crackers
where is the object inside the parlor,question,living room,unknown
what are you tell soda around the bathroom,question,bathroom,soda
how is the vegetables,question,unknown,vegetables
describe in details beverage by the my room,describe,bedroom,beverage
how is the apple,question,unknown,apple
search for some water around the parlor,get,living room,water
pick up an apple near the canteen,get,kitchen,apple
present what's there chips by the bathroom,describe,bathroom,chips
what is are the crackers from the bath,question,bathroom,crackers
tell in details corn inside the parlor,describe,living room,corn
locate some apple,get,unknown,apple
put away an apple around the living room,place,living room,apple
tell in details tomato,describe,unknown,tomato
grab an orange,get,unknown,orange
navigate towards the orange in the bedroom,go,bedroom,orange
explain what you see vegetables by the bathroom,describe,bathroom,vegetables
tidy up the object from the living room,place,living room,unknown
could are the banana,question,unknown,banana
bring me the water in the sitting room,get,living room,water
tidy up the water by the bedroom,place,bedroom,water
bring the item around the sitting room,get,living room,unknown
what is are the tomato in the kitchen,question,kitchen,tomato
describe in details soda,describe,unknown,soda
head towards the chips in the my room,go,bedroom,chips
express every detail object near the pantry,describe,kitchen,unknown
tell what you see beverage inside the parlor,describe,living room,beverage
get some water near the sitting room,get,living room,water
what is you do peas from the kitchen,question,kitchen,peas
find a soda from the living room,get,living room,soda
tell what's there crackers in the parlor,describe,living room,crackers
express what's there tomato from the sitting room,describe,living room,tomato
clean up the soda by the bathroom,place,bathroom,soda
could is the water,question,unknown,water
tell every detail apple around the my room,describe,bedroom,apple
report what you see soda,describe,unknown,soda
fetch me the soda inside the my room,get,bedroom,soda
take the tomato from the my room,place,bedroom,tomato
go toward the chips from the bath,go,bathroom,chips
retrieve some thing from the parlor,get,living room,unknown
specify everything you see orange near the bath,describe,bathroom,orange
bring me a cookies,get,unknown,cookies
describe everything you see cookies inside the bath,describe,bathroom,cookies
navigate to the chips,go,unknown,chips
go by the corn near the bath,go,bathroom,corn
fetch a soda,get,unknown,soda
get me some cookies close to the my room,get,bedroom,cookies
proceed over by the soda,go,unknown,soda
specify in details tomato in the bathroom,describe,bathroom,tomato
describe in details cookies from the sitting room,describe,living room,cookies
what are you do apple around the pantry,question,kitchen,apple
go by the water by the bathroom,go,bathroom,water
tell every detail cookies by the kitchen,describe,kitchen,cookies
drive toward the water close to the canteen,go,kitchen,water
go towards the my room,go,bedroom,unknown
explain in details soda inside the bath,describe,bathroom,soda
head to the vegetables near the sitting room,go,living room,vegetables
navigate near the parlor,go,living room,unknown
answer you tell water inside the parlor,question,living room,water
tell what's there vegetables inside the bath,describe,bathroom,vegetables
drive toward the crackers,go,unknown,crackers
drive near the beverage in the my room,go,bedroom,beverage
proceed towards the crackers inside the parlor,go,living room,crackers
go to the banana near the living room,go,living room,banana
describe everything you see peas near the bathroom,describe,bathroom,peas
answer is the beverage close to the living room,question,living room,beverage
express what you see vegetables close to the parlor,describe,living room,vegetables
identify some apple in the bath,get,bathroom,apple
present in details orange inside the kitchen,describe,kitchen,orange
clear away a beverage from the kitchen,place,kitchen,beverage
take a water from the my room,place,bedroom,water
place the water near the bathroom,place,bathroom,water
clear the object near the parlor,place,living room,unknown
retrieve some carrots from the pantry,get,kitchen,carrots
fetch me some corn around the bedroom,get,bedroom,corn
find me a thing close to the my room,get,bedroom,unknown
describe everything you see water in the bedroom,describe,bedroom,water
explain what's there item around the bedroom,describe,bedroom,unknown
question is the thing from the parlor,question,living room,unknown
move over to the soda in the bedroom,go,bedroom,soda
fetch some tomato by the bath,get,bathroom,tomato
retrieve some banana in the canteen,get,kitchen,banana
look for an object from the bathroom,get,bathroom,unknown
search for some soda,get,unknown,soda
what is is the water,question,unknown,water
go to the orange,go,unknown,orange
proceed to the chips near the bath,go,bathroom,chips
clean up the orange inside the bedroom,place,bedroom,orange
present in details peas close to the my room,describe,bedroom,peas
put away an orange in the kitchen,place,kitchen,orange
describe what's there crackers in the bath,describe,bathroom,crackers
clean up the cookies near the pantry,place,kitchen,cookies
identify a corn by the bathroom,get,bathroom,corn
present every detail object inside the canteen,describe,kitchen,unknown
move over by the tuna in the sitting room,go,living room,tuna
what is you tell cookies,question,unknown,cookies
where you do crackers close to the kitchen,question,kitchen,crackers
move toward the cookies from the parlor,go,living room,cookies
tidy the crackers,place,unknown,crackers
locate a soda near the pantry,get,kitchen,soda
